泥;デイ,ナイ,デ,ニ;どろ;mud, mire, adhere to, be attached to
滴;テキ;しずく,したた.る;drip, drop
鉄;テツ;くろがね;iron
殿;デン,テン;との,-どの;Mr., hall, mansion, palace, temple, lord
塗;ト;ぬ.る,ぬ.り,まみ.れる;paint, plaster, daub, smear, coating
党;トウ;なかま,むら;party, faction, clique
凍;トウ;こお.る,こご.える,こご.る,い.てる,し.みる;frozen, congeal, refrigerate
塔;トウ;;pagoda, tower, steeple
島;トウ;しま;island
湯;トウ;ゆ;hot water, bath, hot spring
灯;トウ;ひ,ほ-,ともしび,とも.す,あかり;lamp, a light, light, counter for lights
筒;トウ;つつ;cylinder, pipe, tube, gun barrel, sleeve
導;ドウ;みちび.く;guidance, leading, conduct, usher
童;ドウ;わらべ;juvenile, child
銅;ドウ;あかがね;copper
毒;ドク;;poison, virus, venom, germ, harm, injury, spite
届;カイ;とど.ける,-とど.け,とど.く;deliver, reach, arrive, report, notify, forward
曇;ドン;くも.る;cloudy weather, cloud up
鈍;ドン;にぶ.い,にぶ.る,にぶ-,なま.る,なまく.ら;dull, slow, foolish, blunt
軟;ナン;やわ.らか,やわ.らかい;soft
乳;ニュウ;ちち,ち;milk, breasts
燃;ネン;も.える,も.やす,も.す;burn, blaze, glow
悩;ノウ;なや.む,なや.ます,なや.ましい,なやみ;trouble, worry, in pain, distress, illness
濃;ノウ;こ.い;concentrated, thick, dark, undiluted
脳;ノウ,ドウ;のうずる;brain, memory
農;ノウ;;agriculture, farmers
波;ハ;なみ;waves, billows, Poland
拝;ハイ;おが.む,おろが.む;worship, adore, pray to
倍;バイ;;double, twice, times, fold
泊;ハク;と.まる,と.める;overnight, put up at, ride at anchor, 3-day stay
薄;ハク;うす.い,うす-,-うす,うす.める,うす.まる,うす.らぐ,うす.ら-,うす.れる,すすき;dilute, thin, weak (tea)
爆;バク;は.ぜる;bomb, burst open, pop, split
麦;バク;むぎ;barley, wheat
肌;キ;はだ;texture, skin, body, grain
板;ハン,バン;いた;plank, board, plate, stage
版;ハン;;printing block, printing plate, edition, impression, label
般;ハン;;carrier, carry, all
販;ハン;;marketing, sell, trade
比;ヒ;くら.べる;compare, race, ratio, Philipines
皮;ヒ;かわ;pelt, skin, hide, leather, skin radical (no. 107)
被;ヒ;こうむ.る,おお.う,かぶ.る,かぶ.せる;incur, cover, veil, brood over, shelter, wear, put on, be exposed (film), receiving
鼻;ビ;はな;nose, snout
匹;ヒツ;ひき;equal, head, counter for small animals, roll of cloth
筆;ヒツ;ふで;writing brush, writing, painting brush, handwriting
氷;ヒョウ;こおり,ひ,こお.る;icicle, ice, hail, freeze, congeal
秒;ビョウ;;second (1/60 minute)
瓶;ビン;かめ;flower pot, bottle, vial, jar, jug, vat, urn
布;フ;ぬの;linen, cloth
府;フ;;borough, urban prefecture, govt office, representative body, storehouse
普;フ;あまね.く,あまねし;universal, wide(ly), generally, Prussia
符;フ;;token, sign, mark, tally, charm
膚;フ;はだ;skin, body, grain, texture, disposition
武;ブ,ム;たけ.し;warrior, military, chivalry, arms
封;フウ,ホウ;;seal, closing
副;フク;;vice-, duplicate, copy
復;フク;また;restore, return to, revert, resume
幅;フク;はば;hanging scroll, width
複;フク;;duplicate, double, compound, multiple
